,PGA [m/s2],Sa [m/s2],East - local,West - local,North - local,South - local,East - macro,West - macro,North - macro,South - macro,Global
000199XA_Sa_1.4g,9.415758269774022,13.734,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000199XA_Sa_1.5g,10.08831243190074,14.715,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000229XA_Sa_0.1g,0.5135477471352446,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000229XA_Sa_0.2g,1.0270954942704893,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000229XA_Sa_0.3g,1.5406432414057336,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000229XA_Sa_0.4g,2.0541909885409786,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000229XA_Sa_0.5g,2.567738735676223,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000229XA_Sa_0.6g,3.081286482811467,5.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000229XA_Sa_0.7g,3.594834229946712,6.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
000229XA_Sa_0.8g,4.108381977081957,7.848000000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
000229XA_Sa_0.9g,4.6219297242172015,8.829,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2
000229XA_Sa_1.0g,5.135477471352446,9.81,2.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,2
000229XA_Sa_1.1g,5.649025218487691,10.791000000000002,3.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,2
000229XA_Sa_1.2g,6.162572965622934,11.772,4.0,4.0,2.0,3.0,4.0,4.0,0.0,0.0,2
000229XA_Sa_1.3g,6.67612071275818,12.753000000000002,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,3
000229XA_Sa_1.4g,7.189668459893424,13.734,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000229XA_Sa_1.5g,7.70321620702867,14.715,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000242XA_Sa_0.1g,0.5845216115367917,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000242XA_Sa_0.2g,1.1690432230735834,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000242XA_Sa_0.3g,1.753564834610375,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000242XA_Sa_0.4g,2.338086446147167,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000242XA_Sa_0.5g,2.922608057683958,4.905,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
000242XA_Sa_0.6g,3.50712966922075,5.886,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2
000242XA_Sa_0.7g,4.0916512807575405,6.867,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2
000242XA_Sa_0.8g,4.676172892294334,7.848000000000001,2.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,2
000242XA_Sa_0.9g,5.260694503831124,8.829,4.0,4.0,4.0,4.0,3.0,4.0,0.0,0.0,4
000242XA_Sa_1.0g,5.845216115367916,9.81,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4
000242XA_Sa_1.1g,6.429737726904708,10.791000000000002,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000242XA_Sa_1.2g,7.0142593384415,11.772,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000242XA_Sa_1.3g,7.59878094997829,12.753000000000002,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000242XA_Sa_1.4g,8.183302561515081,13.734,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000242XA_Sa_1.5g,8.767824173051874,14.715,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3
000246XA_Sa_0.1g,0.28838023717978256,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
