,PGA [m/s2],Sa [m/s2],East - local,West - local,North - local,South - local,East - macro,West - macro,North - macro,South - macro,Global
000948XA_Sa_0.3g,2.3777718311239755,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000948XA_Sa_0.4g,3.170362441498634,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000948XA_Sa_0.5g,3.9629530518732925,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
000948XA_Sa_0.6g,4.755543662247951,5.886,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2
000948XA_Sa_0.7g,5.548134272622609,6.867,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2
000948XA_Sa_0.8g,6.340724882997268,7.848000000000001,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3
000948XA_Sa_0.9g,7.133315493371927,8.829,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,3
000948XA_Sa_1.0g,7.925906103746585,9.81,3.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,4
000948XA_Sa_1.1g,8.718496714121244,10.791000000000002,4.0,2.0,3.0,4.0,0.0,2.0,0.0,0.0,4
000948XA_Sa_1.2g,9.511087324495902,11.772,4.0,3.0,4.0,4.0,0.0,3.0,0.0,0.0,4
000948XA_Sa_1.3g,10.303677934870562,12.753000000000002,4.0,4.0,4.0,4.0,0.0,3.0,0.0,0.0,4
000948XA_Sa_1.4g,11.096268545245218,13.734,4.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0,4
000948XA_Sa_1.5g,11.888859155619876,14.715,4.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0,4
000990XA_Sa_0.1g,0.8156790243972266,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000990XA_Sa_0.2g,1.6313580487944532,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000990XA_Sa_0.3g,2.4470370731916793,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000990XA_Sa_0.4g,3.2627160975889065,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000990XA_Sa_0.5g,4.078395121986133,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000990XA_Sa_0.6g,4.894074146383359,5.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000990XA_Sa_0.7g,5.709753170780585,6.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
